name,bus,p_nom,type,carrier,lat,lon
Gen_51396395358,unzugeordnet,112.0,BHKW,Erdgas,53.1761666666667,8.61330555555556
Gen_51397383518,unzugeordnet,211.0,PV,Solar Gebäude,53.1287555555556,8.751475
Gen_51396398956,unzugeordnet,2000.0,WEA,Windenergie,53.1150305555556,8.715125
Gen_51399600829,unzugeordnet,360.0,NOT,Dieselöl,53.0751111111111,8.84430555555556
Gen_51399605126,unzugeordnet,360.0,NOT,Dieselöl,53.07425,8.81186111111111
Gen_51399578547,unzugeordnet,700.0,NOT,Dieselöl,53.0748333333333,8.76975
Gen_51396384997,unzugeordnet,600.0,WEA,Windenergie,53.1166555555556,8.82652777777778
Gen_51396384997,unzugeordnet,600.0,WEA,Windenergie,53.1168972222222,8.82163055555556
Gen_51396384997,unzugeordnet,600.0,WEA,Windenergie,53.1165333333333,8.82982777777778
Gen_51396397007,unzugeordnet,500.0,WEA,Windenergie,53.1269222222222,8.67394166666667
Gen_51396398071,unzugeordnet,600.0,WEA,Windenergie,53.1003722222222,8.69935277777778
Gen_51396398071,unzugeordnet,600.0,WEA,Windenergie,53.1003722222222,8.69935277777778
Gen_51396398071,unzugeordnet,600.0,WEA,Windenergie,53.0978777777778,8.69346944444444
Gen_51396398071,unzugeordnet,600.0,WEA,Windenergie,53.1003722222222,8.69935277777778
Gen_51399594840,unzugeordnet,225.0,NOT,Dieselöl,53.0792777777778,8.76305555555556
Gen_51398226329,unzugeordnet,360.0,NOT,Dieselöl,53.1739722222222,8.63002777777778
Gen_51397385803,unzugeordnet,75.0,WEA,Windenergie,53.0806222222222,8.73201666666667
Gen_51398223820,unzugeordnet,900.0,NOT,Dieselöl,53.0953611111111,8.79152777777778
Gen_51398223820,unzugeordnet,144.0,NOT,Dieselöl,53.0953611111111,8.79152777777778
Gen_51396400082,unzugeordnet,600.0,WEA,Windenergie,53.1621666666667,8.72654722222222
Gen_51396361375,unzugeordnet,150.0,WEA,Windenergie,53.1218055555556,8.66858333333333
Gen_51402358109,unzugeordnet,850.0,NOT,Dieselöl,53.0639166666667,8.91188888888889
Gen_51402358109,unzugeordnet,500.0,NOT,Dieselöl,53.0564444444444,8.90147222222222
Gen_51400339705,unzugeordnet,600.0,NOT,Dieselöl,53.111,8.877
Gen_51400374107,unzugeordnet,1117.0,NOT,Dieselöl,53.0809444444445,8.79888888888889
Gen_51400374107,unzugeordnet,1117.0,NOT,Dieselöl,53.0809444444445,8.79888888888889
Gen_51396362612,unzugeordnet,50.0,WEA,Windenergie,53.0790166666667,8.716275
Gen_51397384764,unzugeordnet,130000.0,BHKW,Sonstiges (z.B. Heizöl),53.06,8.873
Gen_51397384988,unzugeordnet,330000.0,BHKW,Sonstiges (z.B. Heizöl),53.1250833333333,8.72969444444444
Gen_51396395118,unzugeordnet,2000.0,WEA,Windenergie,53.0262972222222,8.94342777777778
Gen_51396395118,unzugeordnet,2000.0,WEA,Windenergie,53.0266055555556,8.93913611111111
Gen_51396395118,unzugeordnet,2000.0,WEA,Windenergie,53.0269944444444,8.93506111111111
Gen_51396395118,unzugeordnet,2000.0,WEA,Windenergie,53.0278444444444,8.930725
Gen_51397389962,unzugeordnet,14300.0,BHKW,Erdgas,53.1204444444444,8.73455555555555
Gen_51396383519,unzugeordnet,5930.0,BHKW,Erdgas,53.0782777777778,8.79122222222222
Gen_51396399673,unzugeordnet,1800.0,WEA,Windenergie,53.2167694444444,8.52501388888889
Gen_51402359355,unzugeordnet,3000.0,BHKW,Erdgas,53.1784166666667,8.57619444444445
Gen_51396359346,unzugeordnet,71.5,PV,Solar Gebäude,53.0396638888889,8.95823611111111
Gen_51396359346,unzugeordnet,33.46,PV,Solar Gebäude,53.0396583333333,8.95781111111111
Gen_51396385739,unzugeordnet,1800.0,WEA,Windenergie,53.21905,8.52590555555556
Gen_51395563732,unzugeordnet,2000.0,NOT,Dieselöl,53.1135555555556,8.81611111111111
Gen_51395563732,unzugeordnet,525.0,NOT,Dieselöl,53.1135555555556,8.81611111111111
Gen_51397856820,unzugeordnet,620.0,NOT,Dieselöl,53.0531944444444,8.78572222222222
