;"Lastverlauf  
der nicht leistungsgemessenen Kunden"
Arbeit;851.200.068
Höchstleistung;167.246
Zeitpunkt;05.12.2023 18:00
01.01.2023 00:00;82.207
01.01.2023 00:15;80.197
01.01.2023 00:30;79.866
01.01.2023 00:45;79.335
01.01.2023 01:00;78.246
01.01.2023 01:15;77.176
01.01.2023 01:30;75.379
01.01.2023 01:45;74.226
01.01.2023 02:00;71.887
01.01.2023 02:15;69.742
01.01.2023 02:30;68.442
01.01.2023 02:45;66.179
01.01.2023 03:00;65.976
01.01.2023 03:15;63.414
01.01.2023 03:30;63.338
01.01.2023 03:45;62.385
01.01.2023 04:00;60.52
01.01.2023 04:15;60.208
01.01.2023 04:30;58.618
01.01.2023 04:45;57.628
01.01.2023 05:00;59.184
01.01.2023 05:15;56.981
01.01.2023 05:30;57.84
01.01.2023 05:45;57.531
01.01.2023 06:00;55.208
01.01.2023 06:15;56.544
01.01.2023 06:30;56.249
01.01.2023 06:45;56.171
01.01.2023 07:00;58.431
01.01.2023 07:15;60.032
01.01.2023 07:30;61.339
01.01.2023 07:45;63.165
01.01.2023 08:00;64.698
01.01.2023 08:15;68.523
01.01.2023 08:30;71.512
01.01.2023 08:45;74.368
01.01.2023 09:00;77.055
01.01.2023 09:15;83.365
01.01.2023 09:30;86.277
01.01.2023 09:45;90.475
01.01.2023 10:00;93.224
01.01.2023 10:15;98.582
01.01.2023 10:30;101.649
01.01.2023 10:45;103.875
01.01.2023 11:00;108.382
01.01.2023 11:15;109.267
01.01.2023 11:30;115.018
01.01.2023 11:45;117.16
01.01.2023 12:00;119.392
01.01.2023 12:15;120.96
01.01.2023 12:30;121.402
01.01.2023 12:45;121.47
01.01.2023 13:00;120.097
01.01.2023 13:15;120.916
01.01.2023 13:30;119.823
01.01.2023 13:45;119.481
01.01.2023 14:00;117.133
01.01.2023 14:15;117.879
01.01.2023 14:30;117.999
01.01.2023 14:45;114.73
01.01.2023 15:00;116.369
01.01.2023 15:15;116.077
01.01.2023 15:30;117.076
01.01.2023 15:45;118.748
01.01.2023 16:00;121.505
01.01.2023 16:15;125.704
01.01.2023 16:30;126.057
01.01.2023 16:45;131.416
01.01.2023 17:00;135.095
01.01.2023 17:15;138.154
01.01.2023 17:30;138.141
01.01.2023 17:45;140.958
01.01.2023 18:00;140.748
01.01.2023 18:15;141.177
01.01.2023 18:30;139.751
01.01.2023 18:45;138.465
01.01.2023 19:00;136.843
01.01.2023 19:15;134.554
01.01.2023 19:30;130.459
01.01.2023 19:45;127.398
01.01.2023 20:00;125.484
01.01.2023 20:15;121.095
01.01.2023 20:30;117.809
01.01.2023 20:45;112.736
01.01.2023 21:00;113.026
01.01.2023 21:15;107.056
01.01.2023 21:30;104.919
01.01.2023 21:45;104.787
01.01.2023 22:00;102.185
01.01.2023 22:15;100.218
01.01.2023 22:30;96.489
01.01.2023 22:45;92.224
01.01.2023 23:00;88.267
01.01.2023 23:15;84.784
01.01.2023 23:30;80.793
01.01.2023 23:45;76.223
02.01.2023 00:00;71.991
02.01.2023 00:15;71.067
02.01.2023 00:30;66.635
02.01.2023 00:45;63.764
02.01.2023 01:00;62.308
02.01.2023 01:15;61.376
02.01.2023 01:30;58.978
02.01.2023 01:45;56.472
02.01.2023 02:00;57.504
02.01.2023 02:15;55.652
02.01.2023 02:30;54.957
02.01.2023 02:45;54.966
02.01.2023 03:00;54.257
02.01.2023 03:15;54.637
02.01.2023 03:30;54.356
02.01.2023 03:45;53.704
02.01.2023 04:00;56.46
02.01.2023 04:15;56.176
02.01.2023 04:30;56.643
02.01.2023 04:45;58.032
02.01.2023 05:00;60.374
02.01.2023 05:15;61.436
02.01.2023 05:30;62.777
02.01.2023 05:45;65.237
02.01.2023 06:00;67.939
02.01.2023 06:15;71.643
02.01.2023 06:30;74.295
02.01.2023 06:45;77.397
02.01.2023 07:00;81.864
02.01.2023 07:15;85.617
02.01.2023 07:30;87.207
02.01.2023 07:45;91.589
