;"Summenlastgang 
aller Einspeisungen HS
+ Bezug vorgelagertes Netz
+ dez. Erzeugung
- Rückspeisung vorgelagertes Netz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeit;3.962.649.916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Höchstleistung;707.788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeitpunkt;15.11.2023 12:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:00;178.372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:15;181.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:30;179.814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:45;179.706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:00;177.819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:15;180.194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:30;175.894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:45;174.599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:00;169.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:15;170.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:30;169.321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:45;168.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:00;163.282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:15;161.813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:30;164.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:45;164.452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:00;160.729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:15;160.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:30;160.216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:45;160.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:00;158.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:15;157.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:30;164.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:45;163.729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
