;"Summenlastgang 
aller Einspeisungen MS
+ Bezug vorgelagertes Netz
+ dez. Erzeugung"
Arbeit;1.773.059.190
Höchstleistung;316.853
Zeitpunkt;05.12.2023 17:15
01.01.2023 00:00;145.004
01.01.2023 00:15;142.788
01.01.2023 00:30;142.189
01.01.2023 00:45;141.046
01.01.2023 01:00;140.201
01.01.2023 01:15;141.131
01.01.2023 01:30;138.461
01.01.2023 01:45;135.963
01.01.2023 02:00;133.049
01.01.2023 02:15;133.628
01.01.2023 02:30;132.383
01.01.2023 02:45;131.158
01.01.2023 03:00;127.004
01.01.2023 03:15;124.744
01.01.2023 03:30;123.929
01.01.2023 03:45;123.985
01.01.2023 04:00;122.272
01.01.2023 04:15;122.497
01.01.2023 04:30;121.338
01.01.2023 04:45;119.850
01.01.2023 05:00;121.046
01.01.2023 05:15;118.335
01.01.2023 05:30;119.340
01.01.2023 05:45;120.558
01.01.2023 06:00;120.363
01.01.2023 06:15;121.306
01.01.2023 06:30;122.584
01.01.2023 06:45;123.218
01.01.2023 07:00;125.118
01.01.2023 07:15;128.078
01.01.2023 07:30;129.607
01.01.2023 07:45;132.259
01.01.2023 08:00;131.940
01.01.2023 08:15;132.447
01.01.2023 08:30;136.731
01.01.2023 08:45;139.272
01.01.2023 09:00;143.194
01.01.2023 09:15;148.534
01.01.2023 09:30;151.482
01.01.2023 09:45;156.418
01.01.2023 10:00;158.506
01.01.2023 10:15;163.554
01.01.2023 10:30;166.759
01.01.2023 10:45;169.593
01.01.2023 11:00;173.724
01.01.2023 11:15;175.750
01.01.2023 11:30;183.302
01.01.2023 11:45;185.060
01.01.2023 12:00;185.489
01.01.2023 12:15;187.112
01.01.2023 12:30;187.610
01.01.2023 12:45;187.077
01.01.2023 13:00;184.248
01.01.2023 13:15;187.034
01.01.2023 13:30;186.272
01.01.2023 13:45;186.254
01.01.2023 14:00;187.215
01.01.2023 14:15;186.383
01.01.2023 14:30;184.974
01.01.2023 14:45;181.718
01.01.2023 15:00;187.239
01.01.2023 15:15;186.228
01.01.2023 15:30;185.804
01.01.2023 15:45;188.891
01.01.2023 16:00;194.613
01.01.2023 16:15;199.453
01.01.2023 16:30;202.420
01.01.2023 16:45;207.351
01.01.2023 17:00;214.508
01.01.2023 17:15;218.282
01.01.2023 17:30;217.551
01.01.2023 17:45;221.602
01.01.2023 18:00;219.342
01.01.2023 18:15;217.771
01.01.2023 18:30;215.747
01.01.2023 18:45;214.360
01.01.2023 19:00;214.408
01.01.2023 19:15;211.484
01.01.2023 19:30;207.352
01.01.2023 19:45;202.564
01.01.2023 20:00;200.856
01.01.2023 20:15;195.433
01.01.2023 20:30;192.521
01.01.2023 20:45;186.729
01.01.2023 21:00;186.259
01.01.2023 21:15;180.561
01.01.2023 21:30;177.710
01.01.2023 21:45;177.486
01.01.2023 22:00;172.375
01.01.2023 22:15;170.908
01.01.2023 22:30;167.341
01.01.2023 22:45;162.450
01.01.2023 23:00;158.790
01.01.2023 23:15;155.744
01.01.2023 23:30;151.879
01.01.2023 23:45;148.454
02.01.2023 00:00;140.462
02.01.2023 00:15;139.430
02.01.2023 00:30;134.637
02.01.2023 00:45;131.933
02.01.2023 01:00;130.236
02.01.2023 01:15;128.723
02.01.2023 01:30;125.770
02.01.2023 01:45;122.765
02.01.2023 02:00;123.509
02.01.2023 02:15;122.185
02.01.2023 02:30;121.137
02.01.2023 02:45;121.751
02.01.2023 03:00;121.674
02.01.2023 03:15;122.803
02.01.2023 03:30;121.902
02.01.2023 03:45;121.658
02.01.2023 04:00;125.791
02.01.2023 04:15;126.859
02.01.2023 04:30;128.870
02.01.2023 04:45;131.281
02.01.2023 05:00;136.803
