;"Summenlastgang 
aller Einspeisungen NS
+ Bezug vorgelagertes Netz
+ dez. Erzeugung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeit;1.063.169.315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Höchstleistung;203.467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeitpunkt;05.12.2023 18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:00;99.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:15;97.123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:30;96.468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 00:45;96.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:00;94.697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:15;93.598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:30;91.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 01:45;90.437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:00;88.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:15;85.766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:30;84.243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 02:45;82.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:00;81.769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:15;79.025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:30;78.939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 03:45;78.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:00;76.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:15;75.852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:30;74.193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 04:45;73.395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:00;74.941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:15;72.662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:30;73.848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 05:45;74.661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 06:00;72.474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 06:15;73.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 06:30;73.332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 06:45;73.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 07:00;75.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 07:15;77.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 07:30;79.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 07:45;81.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 08:00;82.641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 08:15;83.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 08:30;86.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 08:45;89.658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 09:00;92.576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 09:15;99.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t
01.01.2023 09:30;102.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 09:45;106.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 10:00;109.455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2023 10:15;115.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
