;"Summenlastgang aller Einspeisungen 
Umspannung HS/MS
+ Bezug vorgelagertes Netz
+ dez. Erzeugung"
Arbeit;1.731.128.707
Höchstleistung;330.241
Zeitpunkt;30.11.2023 17:15
01.01.2023 00:00;106.458
01.01.2023 00:15;110.326
01.01.2023 00:30;109.664
01.01.2023 00:45;108.814
01.01.2023 01:00;104.714
01.01.2023 01:15;107.415
01.01.2023 01:30;104.341
01.01.2023 01:45;102.092
01.01.2023 02:00;98.390
01.01.2023 02:15;99.756
01.01.2023 02:30;98.404
01.01.2023 02:45;97.288
01.01.2023 03:00;93.103
01.01.2023 03:15;91.951
01.01.2023 03:30;92.805
01.01.2023 03:45;94.220
01.01.2023 04:00;91.048
01.01.2023 04:15;90.897
01.01.2023 04:30;90.286
01.01.2023 04:45;90.508
01.01.2023 05:00;87.890
01.01.2023 05:15;86.021
01.01.2023 05:30;92.438
01.01.2023 05:45;92.290
01.01.2023 06:00;91.849
01.01.2023 06:15;91.671
01.01.2023 06:30;93.864
01.01.2023 06:45;93.740
01.01.2023 07:00;96.724
01.01.2023 07:15;99.693
01.01.2023 07:30;99.421
01.01.2023 07:45;101.076
01.01.2023 08:00;101.287
01.01.2023 08:15;99.579
01.01.2023 08:30;106.902
01.01.2023 08:45;110.174
01.01.2023 09:00;115.342
01.01.2023 09:15;121.497
01.01.2023 09:30;125.213
01.01.2023 09:45;133.451
01.01.2023 10:00;125.989
01.01.2023 10:15;132.783
01.01.2023 10:30;135.574
01.01.2023 10:45;137.337
01.01.2023 11:00;143.357
01.01.2023 11:15;152.686
01.01.2023 11:30;159.643
01.01.2023 11:45;162.026
01.01.2023 12:00;160.895
01.01.2023 12:15;160.053
01.01.2023 12:30;164.550
01.01.2023 12:45;168.211
01.01.2023 13:00;163.562
01.01.2023 13:15;167.551
01.01.2023 13:30;166.194
01.01.2023 13:45;165.081
01.01.2023 14:00;167.149
01.01.2023 14:15;165.720
01.01.2023 14:30;168.294
01.01.2023 14:45;167.179
01.01.2023 15:00;170.122
01.01.2023 15:15;168.969
01.01.2023 15:30;168.090
01.01.2023 15:45;172.908
01.01.2023 16:00;175.323
01.01.2023 16:15;181.420
01.01.2023 16:30;186.217
01.01.2023 16:45;190.505
01.01.2023 17:00;197.824
01.01.2023 17:15;206.054
01.01.2023 17:30;206.488
01.01.2023 17:45;211.530
01.01.2023 18:00;207.302
01.01.2023 18:15;201.372
01.01.2023 18:30;199.757
01.01.2023 18:45;202.604
01.01.2023 19:00;208.203
01.01.2023 19:15;208.204
01.01.2023 19:30;204.714
01.01.2023 19:45;196.509
01.01.2023 20:00;191.849
01.01.2023 20:15;189.849
01.01.2023 20:30;181.868
01.01.2023 20:45;172.322
01.01.2023 21:00;167.562
01.01.2023 21:15;165.463
01.01.2023 21:30;162.345
01.01.2023 21:45;162.263
01.01.2023 22:00;157.857
01.01.2023 22:15;160.501
01.01.2023 22:30;158.243
01.01.2023 22:45;154.377
01.01.2023 23:00;154.031
01.01.2023 23:15;151.736
01.01.2023 23:30;150.132
01.01.2023 23:45;149.270
02.01.2023 00:00;139.392
02.01.2023 00:15;139.104
02.01.2023 00:30;130.034
02.01.2023 00:45;123.269
02.01.2023 01:00;124.351
02.01.2023 01:15;121.787
02.01.2023 01:30;116.159
02.01.2023 01:45;113.492
02.01.2023 02:00;111.567
02.01.2023 02:15;112.338
02.01.2023 02:30;110.755
02.01.2023 02:45;106.335
02.01.2023 03:00;107.597
02.01.2023 03:15;110.304
02.01.2023 03:30;104.895
02.01.2023 03:45;100.789
02.01.2023 04:00;106.243
02.01.2023 04:15;112.218
02.01.2023 04:30;117.207
02.01.2023 04:45;116.657
02.01.2023 05:00;119.998
02.01.2023 05:15;119.898
02.01.2023 05:30;120.064
02.01.2023 05:45;126.691
02.01.2023 06:00;139.967
02.01.2023 06:15;155.248
02.01.2023 06:30;163.187
02.01.2023 06:45;171.479
02.01.2023 07:00;183.154
02.01.2023 07:15;192.016
02.01.2023 07:30;191.827
02.01.2023 07:45;195.997
02.01.2023 08:00;205.892
02.01.2023 08:15;208.234
02.01.2023 08:30;210.590
02.01.2023 08:45;215.792
02.01.2023 09:00;217.577
02.01.2023 09:15;216.767
02.01.2023 09:30;215.913
02.01.2023 09:45;217.739
02.01.2023 10:00;222.675
02.01.2023 10:15;219.651
02.01.2023 10:30;217.508
02.01.2023 10:45;227.209
02.01.2023 11:00;224.745
02.01.2023 11:15;228.730
02.01.2023 11:30;226.015
02.01.2023 11:45;230.539
02.01.2023 12:00;238.561
02.01.2023 12:15;242.174
02.01.2023 12:30;242.462
02.01.2023 12:45;254.105
02.01.2023 13:00;264.814
02.01.2023 13:15;257.840
02.01.2023 13:30;252.736
02.01.2023 13:45;259.472
02.01.2023 14:00;261.824
02.01.2023 14:15;260.365
02.01.2023 14:30;260.487
02.01.2023 14:45;261.723
02.01.2023 15:00;254.189
02.01.2023 15:15;257.514
02.01.2023 15:30;256.766
02.01.2023 15:45;258.545
02.01.2023 16:00;261.052
02.01.2023 16:15;258.798
02.01.2023 16:30;260.186
02.01.2023 16:45;261.061
02.01.2023 17:00;265.695
02.01.2023 17:15;265.846
02.01.2023 17:30;265.447
02.01.2023 17:45;264.090
02.01.2023 18:00;260.739
