;"Summenlastgang aller Einspeisungen
Umspannung MS/NS
+ Bezug vorgelagertes Netz
+ dez. Erzeugung"
Arbeit;1.049.452.057
Höchstleistung;204.735
Zeitpunkt;05.12.2023 18:00
01.01.2023 00:00;99.019
01.01.2023 00:15;97.061
01.01.2023 00:30;96.426
01.01.2023 00:45;95.958
01.01.2023 01:00;94.666
01.01.2023 01:15;93.578
01.01.2023 01:30;91.716
01.01.2023 01:45;90.275
01.01.2023 02:00;87.812
01.01.2023 02:15;85.537
01.01.2023 02:30;84.007
01.01.2023 02:45;81.816
01.01.2023 03:00;81.517
01.01.2023 03:15;78.747
01.01.2023 03:30;78.665
01.01.2023 03:45;77.756
01.01.2023 04:00;76.004
01.01.2023 04:15;75.501
01.01.2023 04:30;73.937
01.01.2023 04:45;73.146
01.01.2023 05:00;74.617
01.01.2023 05:15;72.322
01.01.2023 05:30;73.542
01.01.2023 05:45;74.348
01.01.2023 06:00;72.121
01.01.2023 06:15;73.275
01.01.2023 06:30;72.951
01.01.2023 06:45;73.037
01.01.2023 07:00;75.549
01.01.2023 07:15;77.39
01.01.2023 07:30;78.762
01.01.2023 07:45;80.671
01.01.2023 08:00;82.271
01.01.2023 08:15;83.135
01.01.2023 08:30;86.356
01.01.2023 08:45;89.323
01.01.2023 09:00;92.283
01.01.2023 09:15;98.762
01.01.2023 09:30;101.845
01.01.2023 09:45;106.25
01.01.2023 10:00;108.869
01.01.2023 10:15;114.507
01.01.2023 10:30;117.677
01.01.2023 10:45;119.892
01.01.2023 11:00;123.984
01.01.2023 11:15;124.858
01.01.2023 11:30;129.259
01.01.2023 11:45;131.268
01.01.2023 12:00;134.297
01.01.2023 12:15;136.856
01.01.2023 12:30;137.491
01.01.2023 12:45;135.869
01.01.2023 13:00;133.993
01.01.2023 13:15;135.367
01.01.2023 13:30;135.925
01.01.2023 13:45;135.904
01.01.2023 14:00;134.179
01.01.2023 14:15;134.893
01.01.2023 14:30;134.387
01.01.2023 14:45;131.501
01.01.2023 15:00;133.24
01.01.2023 15:15;133.557
01.01.2023 15:30;135.128
01.01.2023 15:45;137.36
01.01.2023 16:00;140.564
01.01.2023 16:15;145.558
01.01.2023 16:30;149.024
01.01.2023 16:45;154.64
01.01.2023 17:00;158.532
01.01.2023 17:15;161.799
01.01.2023 17:30;161.648
01.01.2023 17:45;164.708
01.01.2023 18:00;164.409
01.01.2023 18:15;164.859
01.01.2023 18:30;163.183
01.01.2023 18:45;161.714
01.01.2023 19:00;159.906
01.01.2023 19:15;157.321
01.01.2023 19:30;152.97
01.01.2023 19:45;149.676
01.01.2023 20:00;147.419
01.01.2023 20:15;142.633
01.01.2023 20:30;138.956
01.01.2023 20:45;133.643
01.01.2023 21:00;133.663
01.01.2023 21:15;127.208
01.01.2023 21:30;124.961
01.01.2023 21:45;123.654
01.01.2023 22:00;120.67
01.01.2023 22:15;118.429
01.01.2023 22:30;114.302
01.01.2023 22:45;109.702
01.01.2023 23:00;105.492
01.01.2023 23:15;101.821
01.01.2023 23:30;97.635
