;"Übergabe vorgelagertes Netz 
zzgl. dezentrale Erzeugungsanlagen
abzgl. der Rückspeisungen ins E.ON Netz"
Arbeit;4.296.027.928
Höchstleistung;732.097
Zeitpunkt;27.09.2023 10:00
01.01.2023 00:00;247.835
01.01.2023 00:15;244.165
01.01.2023 00:30;243.569
01.01.2023 00:45;242.964
01.01.2023 01:00;242.727
01.01.2023 01:15;243.486
01.01.2023 01:30;240.240
01.01.2023 01:45;239.051
01.01.2023 02:00;234.848
01.01.2023 02:15;236.156
01.01.2023 02:30;234.446
01.01.2023 02:45;233.923
01.01.2023 03:00;229.319
01.01.2023 03:15;226.555
01.01.2023 03:30;226.997
01.01.2023 03:45;226.316
01.01.2023 04:00;224.473
01.01.2023 04:15;223.770
01.01.2023 04:30;221.781
01.01.2023 04:45;220.470
01.01.2023 05:00;221.176
01.01.2023 05:15;219.167
01.01.2023 05:30;219.989
01.01.2023 05:45;221.204
01.01.2023 06:00;221.876
01.01.2023 06:15;223.868
01.01.2023 06:30;224.753
01.01.2023 06:45;245.560
01.01.2023 07:00;276.820
01.01.2023 07:15;308.875
01.01.2023 07:30;310.978
01.01.2023 07:45;314.607
01.01.2023 08:00;313.789
01.01.2023 08:15;315.384
01.01.2023 08:30;319.384
01.01.2023 08:45;321.647
01.01.2023 09:00;325.938
01.01.2023 09:15;330.533
01.01.2023 09:30;333.869
01.01.2023 09:45;339.108
01.01.2023 10:00;370.801
01.01.2023 10:15;405.736
01.01.2023 10:30;440.278
01.01.2023 10:45;455.284
01.01.2023 11:00;459.275
01.01.2023 11:15;462.963
01.01.2023 11:30;471.362
01.01.2023 11:45;473.889
01.01.2023 12:00;473.851
01.01.2023 12:15;474.532
01.01.2023 12:30;474.582
01.01.2023 12:45;475.856
01.01.2023 13:00;472.968
01.01.2023 13:15;474.706
01.01.2023 13:30;472.196
01.01.2023 13:45;472.508
01.01.2023 14:00;473.463
01.01.2023 14:15;475.441
01.01.2023 14:30;473.679
01.01.2023 14:45;471.003
01.01.2023 15:00;475.459
01.01.2023 15:15;474.131
01.01.2023 15:30;472.301
01.01.2023 15:45;475.799
01.01.2023 16:00;482.120
01.01.2023 16:15;486.531
01.01.2023 16:30;490.125
01.01.2023 16:45;495.476
01.01.2023 17:00;503.567
01.01.2023 17:15;507.765
01.01.2023 17:30;506.185
01.01.2023 17:45;509.743
01.01.2023 18:00;507.921
01.01.2023 18:15;505.416
01.01.2023 18:30;504.071
01.01.2023 18:45;503.486
01.01.2023 19:00;503.637
01.01.2023 19:15;501.363
01.01.2023 19:30;497.266
01.01.2023 19:45;491.644
01.01.2023 20:00;490.132
01.01.2023 20:15;485.022
01.01.2023 20:30;481.647
01.01.2023 20:45;476.120
01.01.2023 21:00;470.489
01.01.2023 21:15;465.074
01.01.2023 21:30;470.603
01.01.2023 21:45;464.689
01.01.2023 22:00;467.177
01.01.2023 22:15;454.435
01.01.2023 22:30;414.703
01.01.2023 22:45;388.626
01.01.2023 23:00;345.791
01.01.2023 23:15;288.318
01.01.2023 23:30;275.986
01.01.2023 23:45;285.652
02.01.2023 00:00;283.922
02.01.2023 00:15;268.257
02.01.2023 00:30;259.780
02.01.2023 00:45;271.717
02.01.2023 01:00;272.938
02.01.2023 01:15;268.813
02.01.2023 01:30;240.301
02.01.2023 01:45;244.245
02.01.2023 02:00;258.462
02.01.2023 02:15;257.023
02.01.2023 02:30;256.304
02.01.2023 02:45;257.964
02.01.2023 03:00;255.798
02.01.2023 03:15;258.616
02.01.2023 03:30;259.623
02.01.2023 03:45;243.422
02.01.2023 04:00;253.414
02.01.2023 04:15;260.826
02.01.2023 04:30;266.709
02.01.2023 04:45;270.582
02.01.2023 05:00;318.456
02.01.2023 05:15;350.606
02.01.2023 05:30;442.193
02.01.2023 05:45;483.461
02.01.2023 06:00;498.650
02.01.2023 06:15;514.118
02.01.2023 06:30;487.269
02.01.2023 06:45;510.524
02.01.2023 07:00;535.903
02.01.2023 07:15;542.251
02.01.2023 07:30;548.923
02.01.2023 07:45;558.732
02.01.2023 08:00;559.370
02.01.2023 08:15;563.855
02.01.2023 08:30;568.715
02.01.2023 08:45;575.086
02.01.2023 09:00;566.909
02.01.2023 09:15;566.625
02.01.2023 09:30;566.229
02.01.2023 09:45;562.109
02.01.2023 10:00;566.757
02.01.2023 10:15;567.975
02.01.2023 10:30;582.600
02.01.2023 10:45;590.401
02.01.2023 11:00;583.438
02.01.2023 11:15;582.276
02.01.2023 11:30;578.966
02.01.2023 11:45;585.792
02.01.2023 12:00;574.988
02.01.2023 12:15;574.120
02.01.2023 12:30;577.694
02.01.2023 12:45;573.897
02.01.2023 13:00;575.303
02.01.2023 13:15;586.829
02.01.2023 13:30;590.115
02.01.2023 13:45;586.890
02.01.2023 14:00;584.074
02.01.2023 14:15;585.322
02.01.2023 14:30;581.631
02.01.2023 14:45;567.185
02.01.2023 15:00;577.946
02.01.2023 15:15;587.064
02.01.2023 15:30;587.079
02.01.2023 15:45;599.466
02.01.2023 16:00;605.627
02.01.2023 16:15;591.002
02.01.2023 16:30;604.681
02.01.2023 16:45;604.509
02.01.2023 17:00;602.257
02.01.2023 17:15;582.087
02.01.2023 17:30;564.631
02.01.2023 17:45;563.881
02.01.2023 18:00;561.870
02.01.2023 18:15;559.731
02.01.2023 18:30;556.021
02.01.2023 18:45;560.638
02.01.2023 19:00;554.114
02.01.2023 19:15;573.742
02.01.2023 19:30;576.010
02.01.2023 19:45;546.572
02.01.2023 20:00;564.636
02.01.2023 20:15;562.246
02.01.2023 20:30;552.542
02.01.2023 20:45;531.146
02.01.2023 21:00;509.864
02.01.2023 21:15;502.049
02.01.2023 21:30;500.062
02.01.2023 21:45;494.254
02.01.2023 22:00;489.954
02.01.2023 22:15;488.658
02.01.2023 22:30;484.587
02.01.2023 22:45;478.506
02.01.2023 23:00;472.830
02.01.2023 23:15;471.277
02.01.2023 23:30;480.201
02.01.2023 23:45;484.655
03.01.2023 00:00;470.509
03.01.2023 00:15;455.720
03.01.2023 00:30;454.256
03.01.2023 00:45;406.315
03.01.2023 01:00;350.222
03.01.2023 01:15;345.135
03.01.2023 01:30;292.907
